street_address,city,postal_code,price,longitude,latitude,rental_type,bedrooms,bathrooms,sqft,description_text,year_built,parking_spots
334 Gladstone Avenue,Toronto,M6J 3L6,2999.0,-79.43107110000001,43.65252319999999,Accommodation,,,,,,
38 Waterbury Drive,Etobicoke,M9R 3X6,1950.0,-79.57152339999999,43.6863867,Accommodation,2.0,1.0,,,,
11 Wellesley Street West,Toronto,M4Y 1E8,1950.0,-79.3852467,43.66450329999999,Accommodation,1.0,1.0,,,,
Candy Factory Loft - Penthouse,Toronto,M6J 1H2,8495.0,-79.4156165,43.6446488,Accommodation,,,,,,
77 Finch Avenue East,North York,M2N 6H8,1200.0,-79.41190979999999,43.7800854,Accommodation,,,,,,
832 Bay Street,Toronto,M5S 1Z6,2500.0,-79.3865112,43.661927,Accommodation,2.0,1.0,,,,
650 Lawrence,North York,M6A 3E8,2450.0,-79.4418464,43.7172871,Accommodation,3.0,1.0,,,,
25 Carlton Street,Toronto,M5B 1L4,2500.0,-79.3816605,43.6610457,Accommodation,2.0,1.0,,,,
8 Scollard Street,Toronto,M5R 1M2,2290.0,-79.38863640000001,43.6725941,Accommodation,2.0,1.0,,,,
5 St. Joseph Street,Toronto,M4Y 1J6,3100.0,-79.3855792,43.6657528,Accommodation,2.0,2.0,,,,
125 Western Battery Road,Toronto,M6K 3R8,2400.0,-79.4164156,43.63982499999999,Accommodation,2.0,2.0,,,,
2908 Highway 7 Road,Vaughan,L4K 1W8,2350.0,-79.5212976,43.7959418,Accommodation,2.0,2.0,,,,
188 Cumberland Street,Toronto,M5R 3G3,1950.0,-79.3942951,43.6697824,Accommodation,1.0,1.0,,,,
18 Yonge Street,Toronto,M5E 1Z8,2295.0,-79.3765617,43.6444084,Accommodation,2.0,2.0,,,,
300 Front Street West,Toronto,M5V 0E9,3100.0,-79.38942089999999,43.6441737,Accommodation,2.0,2.0,,,,
15 Iceboat Terrace,Toronto,M5V 4A5,3800.0,-79.397104,43.6405271,Accommodation,3.0,2.0,,,,
5785 Yonge Street,North York,M2M 4J2,2600.0,-79.4152713,43.7837148,Accommodation,3.0,2.0,,,,
80 Vanauley Street,Toronto,M5T 0C9,4100.0,-79.3991717,43.6498654,Accommodation,2.0,3.0,,,,
39 Sherbourne Street,Toronto,M5A 0L8,2200.0,-79.3679085,43.6510891,Accommodation,2.0,1.0,,,,
436 Strathmore Boulevard,Toronto,M4C 1N5,3750.0,-79.3193004,43.68529239999999,Accommodation,3.0,2.0,,,,
326 Connaught,North York,M2R 2L9,2400.0,-79.4343684,43.7859395,Accommodation,3.0,1.0,,,,
8 Eglinton East,Toronto,M4P 1A6,1980.0,-79.3979784,43.7072789,Accommodation,2.0,1.0,,,,
90 Stadium Road,Toronto,M5V 3W5,2900.0,-79.40158860000001,43.63447559999999,Accommodation,2.0,2.0,,,,
125 Omni Drive,Scarborough,M1P 5A9,1980.0,-79.26071759999999,43.7713085,Accommodation,3.0,1.0,,,,
68 Broadview,Toronto,M4M 2E6,3299.0,-79.3501639,43.65750269999999,Accommodation,1.0,1.0,,,,
78 Tecumseth Street,Toronto,M5V 0A9,3299.0,-79.40533270000002,43.6431201,Accommodation,3.0,2.0,,,,
68 Abell Street,Toronto,M6J 0B1,2300.0,-79.4243664,43.642313,Accommodation,2.0,1.0,,,,
38 Niagara Street,Toronto,M5V 3X1,2400.0,-79.4015735,43.6420956,Accommodation,2.0,2.0,,,,
10 Northtown Way,North York,M2N 7L4,2400.0,-79.413286,43.7759301,Accommodation,2.0,2.0,,,,
909 Bay Street,Toronto,M5S 3G2,2650.0,-79.3864208,43.6637245,Accommodation,2.0,2.0,,,,
500 Doris,North York,M2N 0C1,2550.0,-79.41402219999999,43.7765228,Accommodation,2.0,2.0,,,,
153 Beecroft Road North,North York,M2N 7C5,2580.0,-79.41407749999999,43.7655,Accommodation,2.0,2.0,,,,
35 Mariner Terrace,Toronto,M5V 3V9,2600.0,-79.3920888,43.6396694,Accommodation,2.0,1.0,,,,
770 Bay Street,Toronto,M5G 1N6,1895.0,-79.3858692,43.6601367,Accommodation,1.0,1.0,,,,
30 Shore Breeze Drive,Etobicoke,M8V 0J1,2150.0,-79.4799347,43.6237761,Accommodation,2.0,1.0,,,,
320 Richmond Street East,Toronto,M5A 3S5,2300.0,-79.3688205,43.6535579,Accommodation,2.0,1.0,,,,
188 Doris,North York,M2N 6Z5,1900.0,-79.4106934,43.7674386,Accommodation,1.0,1.0,,,,
2908 Highway 7 Road,Vaughan,L4K 0K5,1800.0,-79.5212976,43.7959418,Accommodation,1.0,1.0,,,,
25 TELEGRAM MEWS,Toronto,M5V 3Z1,2500.0,-79.3939821,43.6409179,Accommodation,1.0,1.0,,,,
14 York St Street,Toronto,M5J 2Z2,2100.0,-79.3822455,43.6418503,Accommodation,2.0,1.0,,,,
85 Queens Wharf Road,Toronto,M5V 0J9,2780.0,-79.39853029999999,43.6389644,Accommodation,2.0,2.0,,,,
637 Lake Shore Boulevard West,Toronto,M5V 3J6,2175.0,-79.40194819999999,43.6351391,Accommodation,1.0,1.0,,,,
576 Front Street East,Toronto,M5V 1C1,2600.0,-79.400252,43.6410714,Accommodation,2.0,2.0,,,,
7 Slingsby Lane,North York,M2N 0H7,3600.0,-79.4056019,43.7815428,Accommodation,3.0,4.0,,,,
8 Eglinton,Toronto,M4P 1A6,1900.0,-79.3979784,43.7072789,Accommodation,2.0,1.0,,,,
50 Wellesley Street East,Toronto,M4Y 1G2,1950.0,-79.38253759999999,43.6655963,Accommodation,1.0,1.0,,,,
75 Queens Wharf Road,Toronto,M5V 0J8,3300.0,-79.3978308,43.63833169999999,Accommodation,2.0,2.0,,,,
251 Jarvis Street,Toronto,M5B 2C2,2200.0,-79.3742406,43.6574924,Accommodation,2.0,1.0,,,,
763 Bay Street,Toronto,M5G 2R3,2900.0,-79.3851875,43.6599441,Accommodation,2.0,2.0,,,,
323 Richmond Street East,Toronto,M5A 4R3,2500.0,-79.3686431,43.6531574,Accommodation,2.0,1.0,,,,
5508 Yonge Street,North York,M2N 7L2,2900.0,-79.4154234,43.7782756,Accommodation,2.0,2.0,,,,
188 Cumberland Street,Toronto,M5R 2G3,2500.0,-79.3942951,43.6697824,Accommodation,2.0,1.0,,,,
20 Minowan Miikan Lane,Toronto,M6J 0E5,2400.0,-79.4281018,43.6428951,Accommodation,2.0,1.0,,,,
80 Harrison Garden Boulevard,North York,M2N 7E3,3000.0,-79.4057622,43.7563264,Accommodation,3.0,2.0,,,,
60 Brian Harrison Way,Scarborough,M1P 5J5,2100.0,-79.2575808,43.774003,Accommodation,2.0,2.0,,,,
11 Wellesley Street West,Toronto,M4Y 1E8,2000.0,-79.3852467,43.6645033,Accommodation,1.0,1.0,,,,
